Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
52,CO,1064.09,.00,406.09,7,10.00,1,1053081,0.00,0.00,0.00,357.00,0.00,0.00,0.00,1650.09,2578.09,5,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
43,CO,6905.14,2287.00,4293.00,13,10.00,1,1054869,0.00,0.00,227.00,177.00,345.00,0.00,2287.00,4293.00,4971.14,4,3,1,1,1,1,0,1,1,2,8,0,0,1,5,0,0,0,0,16
61,CO,2182.97,439.00,797.00,2,10.00,1,1055969,0.00,318.00,298.00,0.00,358.00,0.00,439.00,797.00,797.00,7,5,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2
54,CO,6004.7,196.00,4847.14,21,9.13,1,1058538,0.00,298.00,149.00,506.00,0.00,0.00,196.00,3971.14,4847.14,9,4,5,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,3
46,CO,1154.7,58.06,1005.70,10,10.00,1,1059181,0.00,0.00,5.50,0.00,0.00,0.00,456.06,1403.70,1950.70,2,2,0,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,6
41,CO,4495.7,895.00,2094.10,10,0.00,1,1019995,39.40,287.00,308.00,0.00,159.00,0.00,895.00,2045.10,2312.10,1,1,0,0,0,0,1,1,0,3,2,1,0,1,1,0,0,0,0,8
60,CO,5279.35,2585.84,5279.35,19,10.00,1,1020410,0.00,0.00,0.00,275.00,0.00,602.00,2585.84,5279.35,5279.35,3,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3
55,CO,1720.76,78.94,558.76,5,0.00,1,1021582,177.00,69.00,0.00,0.00,69.00,0.00,78.94,558.76,591.91,4,2,2,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,5
49,CO,1654.08,528.94,1654.08,10,5.19,1,1021981,0.00,0.00,0.00,99.00,0.00,0.00,697.94,1724.08,1823.08,4,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
51,CO,2757,1012.00,1810.00,3,0.00,1,1059949,0.00,0.00,0.00,0.00,0.00,0.00,1012.00,1879.00,1879.00,3,2,1,0,1,0,0,1,0,2,2,1,1,1,0,0,0,0,0,7
